Accession,Molecule_type,Geo_Location,Host,Collection_Date
ON563414.2,dsDNA,USA: MA,Homo sapiens,2022-05
ON568298.1,dsDNA,Germany,Homo sapiens,2022-05-19
ON585031.1,dsDNA,Portugal,Homo sapiens,2022-05-15
ON585033.1,dsDNA,Portugal,Homo sapiens,2022-05-15
ON585035.1,dsDNA,Portugal,Homo sapiens,2022-05-15
ON585038.1,dsDNA,Portugal,Homo sapiens,2022-05-15
